slug,url
40s3,"https://livetv.biz.id/play1.php?watch=Furman Paladins vs South Carolina Bulldogs"
qsrf,"https://livetv.biz.id/play1.php?watch=Tarleton Texans vs Merrimack Warriors"
8rsz,"https://livetv.biz.id/play1.php?watch=Nebraska Cornhuskers vs ND Fighting Hawks"
eqaz,"https://livetv.biz.id/play1.php?watch=Washington Huskies vs Eastern Washington Eagles"
vqux,"https://livetv.biz.id/play1.php?watch=LSU Tigers vs Ole Miss Rebels"
7d1f,"https://livetv.biz.id/play1.php?watch=Colorado Rams vs BYU Cougars"
xuf3,"https://livetv.biz.id/play1.php?watch=Virginia Tech Hokies vs Maryland Terrapins"
k5ha,"https://livetv.biz.id/play1.php?watch=New Mexico Lobos vs Oklahoma Sooners"
crld,"https://livetv.biz.id/play1.php?watch=West Virginia Mountaineers vs Virginia Cavaliers"
sryq,"https://livetv.biz.id/play1.php?watch=Michigan Spartans vs Notre Dame Fighting Irish"
fo0o,"https://livetv.biz.id/play1.php?watch=Colorado Buffaloes vs Northwestern Wildcats"
5iui,"https://livetv.biz.id/play1.php?watch=Tennessee Volunteers vs Kennesaw Owls"
bdnz,"https://livetv.biz.id/play1.php?watch=Boise Broncos vs South Dakota Coyotes"
cbux,"https://livetv.biz.id/play1.php?watch=Tulsa Golden Hurricane vs Texas Commerce Lions"
3wt0,"https://livetv.biz.id/play1.php?watch=TCU Horned Frogs vs Arkansas Red Wolves"
lpd3,"https://livetv.biz.id/play1.php?watch=Texas Longhorns vs UTSA Roadrunners"
f7j4,"https://livetv.biz.id/play1.php?watch=UAB Blazers vs Louisiana Ragin` Cajuns"
aw7e,"https://livetv.biz.id/play1.php?watch=Weber State Wildcats vs Northwestern Demons"
dbkz,"https://livetv.biz.id/play1.php?watch=Cal Poly Mustangs vs San Diego Toreros"
qr3e,"https://livetv.biz.id/play1.php?watch=Prairie View Panthers vs Stephen F Austin"
kh4o,"https://livetv.biz.id/play1.php?watch=Utah Tech Trailblazers vs NA Lumberjacks"
czzo,"https://livetv.biz.id/play1.php?watch=Davis Aggies vs Stetson Hatters"
ujgb,"https://livetv.biz.id/play1.php?watch=San Diego Aztecs vs James Madison Dukes"
jqid,"https://livetv.biz.id/play1.php?watch=North Dakota Bison vs Sacramento Hornets"
trjp,"https://livetv.biz.id/play1.php?watch=Arizona Wildcats vs Northern Illinois Huskies"
a65p,"https://livetv.biz.id/play1.php?watch=UCLA Bruins vs Purdue Boilermakers"
zun3,"https://livetv.biz.id/play1.php?watch=San Jose Spartans vs Fresno Bulldogs"
2l4h,"https://livetv.biz.id/play1.php?watch=Oregon Beavers vs Montana Grizzlies"
o3w4,"https://livetv.biz.id/play1.php?watch=Appalachian Mountaineers vs Montana Grizzlies"
89av,"https://livetv.biz.id/play1.php?watch=Scottish Open vs"
fmrf,"https://livetv.biz.id/play1.php?watch=World Series vs"
z37n,"https://livetv.biz.id/play1.php?watch=World Series vs"
l96s,"https://livetv.biz.id/play1.php?watch=Spisska Nova Ves (W) vs Partizanske (W)"
fhp4,"https://livetv.biz.id/play1.php?watch=ATU Kosice vs Hurikan Bratislava"
vcti,"https://livetv.biz.id/play1.php?watch=Dresden vs Holzbuttgen"
fql5,"https://livetv.biz.id/play1.php?watch=Hamburg vs Munich"
k917,"https://livetv.biz.id/play1.php?watch=Detva vs 1.FBC Trencin"
azxo,"https://livetv.biz.id/play1.php?watch=Rubene vs Lekrings"
e6dt,"https://livetv.biz.id/play1.php?watch=Berlin vs DHfK Leipzig"
radr,"https://livetv.biz.id/play1.php?watch=Kursi vs Ulbroka"
